"name","locate"
"そば処 もみじ亭","弘前市文京町4-5"
"Bar 侍庵","弘前市土手町73-2 スマイルホテル弘前1F"
"ルアナカフェ ドゥ","弘前市北川端町27-1"
"ピッツェリア ミーア","弘前市代官町3-1 弘学館ビル1F"
"カレー&コーヒーかわしま","弘前市土手町136"
"めん房 たけや","弘前市稔町10-1"
"ドゥルセドムム","弘前市富野町6-4"
"ブルーエイト","弘前市土手町132-2"
"弘仁会 食堂","弘前市本町53 弘前大学医学部附属病院内"
"ピッツェリア ジーナキッコ","弘前市文京町15-2-101"
"クレイジー アディクト","弘前市稲田2丁目1-13"
"弦や","弘前市本町76-1"
"ステイ ジューシー","弘前市品川町101"
"ぴょん吉にく仙人","弘前市文京町16-32"
"弘大カフェ 成田専蔵珈琲店","弘前市文京町1"
"ヒロサキライスワイン","弘前市駅前町6-6"
"煉瓦亭","弘前市土手町24"
"中国菜鳳龍","弘前市富田町20-4"
"創作居酒屋花よりだんご","弘前市中野1丁目9-14ロフトビル1F"
"かふぇ&ぎゃらりー モンロー","弘前市御幸町9-21"
"ぶりーず・ど・すりじぇ","弘前市土手町55-1 creative香風2F"
"ラビット・クリーク","弘前市本町64-1"
"中華飯店 孔雀","弘前市富田2丁目3-4"
"カフェテラス ケララ","弘前市御幸町9-17"
"吾郎","弘前市百石町2-1"
"おかげ茶や","弘前市大町3丁目7-1"
"居酒屋 小判","弘前市文京町6-21"
"中華そばマル金","弘前市上白銀町1-10"
"三忠 塩分町分店","弘前市塩分町1-2"
"牛タンダイニングふく助","弘前市新鍛冶町96-1"
"弐代目にぼshin 高崎店","弘前市高崎2丁目1-6"
"スタミナ一番","弘前市泉野5丁目5-15"
"カフェ なか","弘前市富野町11-4"
"トラットリア・ポチャン湖","弘前市駅前町11-12 2F"
"麺屋幡 弘前店","弘前市高崎2丁目13-3"
"かつ亭","弘前市品川町33"
"くま吉","弘前市中野1-13-1"
"石臼挽き自家製粉彦庵","弘前市茂森新町4-3-7"
"きむら屋土手町店","弘前市土手町166"
"きむら屋鍛冶町店","弘前市鍛冶町11"
"津軽郷土料理の店あば","弘前市土手町166"
"プリムヴェール","弘前市文京町15-13"
"カレーハウス芳柳","弘前市大町2丁目1-2"
"ブラッスリー・ル・キャッスル","弘前市上鞘師町24-1"
"居酒屋この花","弘前市上鞘師町24-1"
"ル・キャスル・ファクトリー","弘前市上鞘師町24-1"
"夕やけ小やけ","弘前市中野1丁目11-12"
"煮干結社弘前","弘前市元寺町9 三上ビル1階"
"居酒屋かぐや姫","弘前市西ヶ丘町11-40"
"麺屋マルダイ堅田店","弘前市宮川2-1-12"
"グリーンフィンガーズ","弘前市文京町16-1"
"ブッフェダイニング シェフズレシピ","弘前市大町1-1-2 アートホテルシティ弘前2F"
"ティーラウンジ オークレール","弘前市大町1-1-2 アートホテルシティ弘前1F"
"うちごはん café TRES","弘前市桔梗野4-1-16"
"津軽居酒屋あいや","弘前市富田2丁目7-3"
"としぞう","弘前市親方町43第一木村ビル1F"
"土手町パーラーモード・カフェ","弘前市土手町31B館ごちそうプラザ2番"
"串焼き酒場 炭太郎","弘前市鍛冶町11 C-1"
"じょいふる","弘前市三岳町5-1"
"パブハウスかくれ家","弘前市中野1-9-14"
"焼き肉五エ門","弘前市中野1-13-1"
"八十八夜","弘前市文京町6-8"
"Old Rookie","弘前市文京町6-18 大澤ビル5号"
"よしじん","弘前市新鍛冶町4-10"
"ヤオハチスパイス","弘前市富田2-3-26"
"カフェ&バル チュロス","弘前市上瓦ケ町11-2"
"パブ グランパ","弘前市土手町66-12"
"BAR THE GYO","弘前市鍛冶町11城東閣D-1"
"八甲田麺業R","弘前市駅前町9-20 ヒロロ"
"ナン・カレーハウス","弘前市駅前町9-20 ヒロロ"
"モニック","弘前市駅前町9-20 ヒロロ"
"ハニカムクレビー","弘前市駅前町9-20 ヒロロ"
"ラーメン華心","弘前市中野1丁目12-12"
"銘茶の玉雲堂","弘前市上土手町49-1 中三弘前店"
"中みそ","弘前市上土手町49-1 中三弘前店"
"クラムボンカフェ","弘前市上土手町49-1 中三弘前店"
"山忠 弘前中三店","弘前市上土手町49-1 中三弘前店"
"中みそ焼きそば","弘前市上土手町49-1 中三弘前店"
"居酒屋 魚々家","弘前市新鍛冶町84-1 グルメタウン1F"
"お食事処 あお菜","弘前市富士見町5-5"
